scenario_id,success,out_of_road
282,0.9580103628143721,0.9585739858669741
283,0.9730345942303275,0.9730345942303275
284,0.9753325405702921,0.9753325405702921
285,0.9599640155018867,0.9528114941874688
286,0.9613344228024815,0.9507072725375956
287,0.9824560320864956,0.9587676972055603
288,0.9530100689057089,0.9630336470228754
289,0.9531377260720231,0.49247320706194037
290,0.9567925004811347,0.9504726519967838
291,0.958828762079326,0.9588268939648219
292,0.9787681104249812,0.9787680038220951
293,0.9507133713624156,0.9507133713624156
294,0.9581578150815369,0.9581585254950882
295,0.9544563993901788,0.9544562964491514
296,0.9579374982213162,0.9655864134551557
297,0.9552019642929435,0.9551915731152281
298,0.9744059668498786,0.9744059668498786
299,0.9569208844778258,0.9521960021983733
300,0.9543693628711644,0.2634628162739831
301,0.9536370263726976,0.28010811582049516
302,0.955107588001857,0.9551030038355298
303,0.9678553321570077,0.974405984928446
304,0.7935646790350543,0.8038343196094314
305,0.9684349220807171,0.9564439279835695
306,0.9554852226927207,0.9558535821051388
307,0.9652724363452245,0.9605027294829727
308,0.9511991020113455,0.9039027192995194
309,0.956936992698851,0.9569088414995309
310,0.9617630074892638,0.964644115479816
311,0.968725337190898,0.968725337190898
312,0.9501630867460266,0.6050021815251756
313,0.9606848837672274,0.9593607779003732
314,0.9616933647893935,0.9616933647893935
315,0.9668297272927082,0.9568703246604198
316,0.9553463967405961,0.9549930936181483
317,0.990258227341967,0.990258227341967
318,0.9504851496091926,0.9536767784852254
319,0.957568398930241,0.954444217242953
320,0.9550107325376269,0.9541128909019045
321,0.9525931506119981,0.9503170703024442
322,0.9717112245080863,0.9809277582732178
323,0.9529955608398365,0.9584139035780743
324,0.9524294465607561,0.9524294465607561
325,0.9852377058867462,0.9599065145696165
326,0.955871068827346,0.6625557555240329
327,0.9523389672518677,0.9607200888410836
328,0.965852616932108,0.965852616932108
329,0.9580986530774088,0.9526586220017335
330,0.981442500160311,0.9730028692683532
331,0.9613398432040495,0.9613398432040495
332,0.9510723891353494,0.9510497332642563
333,0.9528192309877285,0.9520178138944274
334,0.9500393191429669,0.6314374438428741
335,0.9871709259461243,0.09172210728585847
336,0.9504358256143974,0.747249971556687
337,0.9501505419687701,0.9501505419687701
338,0.9888892377075891,0.9888892377075891
339,0.9696831875312325,0.9696831875312325
340,0.9657447809465953,0.5260964625728946
341,0.4687218557963112,0.05044889746454371
342,0.9557644107066958,0.9557844322392165
343,0.9559632409509061,0.9559632409509061
